question,ormawa_id
"Divisi Audit bertugas untuk mengawasi kegiatan-kegiatan ORMAWA FT dari segi proposal LPJ, dan audit lapangan (saat kegiatan berlangsung). Pernyataan tersebut benar atau salah?",1
Apa nama peraturan yang hanya mengatur satu ormawa tertentu dan diperiksa oleh DPM?,1
Ada berapa total divisi dalam DPM FT ini?,1
Salah satu Program Kerja DPM FT yang bertujuan untuk pengembangan sikap kepemimpinan melalui pembekalan materi oleh pembicara dan sharing oleh alumni DPM-FT adalah Program Kerja GBPK SA & MKB. Pernyataan tersebut benar atau salah?,1
Aspirasi mahasiswa Fakultas Teknik dapat disampaikan melalui DPM FT untuk diteruskan ke Dekanat Fakultas Teknik. Pernyataan tersebut benar atau salah?,1
Di manakah letak ruangan KMM PPM?,2
Ada berapa divisi dalam KMM PPM yang tidak termasuk BPH?,2
Commanther merupakan salah satu Program Kerja yang diadakan oleh KMM PPM. Pernyataan tersebut benar atau salah?,2
"Benar atau salah, KMM PPM pernah melakukan kegiatan live in untuk melayani masyarakat?",2
Apa slogan KMM PPM?,2
Terdapat 5 divisi termasuk BPH yang ada di KMM RK. Pernyataan tersebut benar atau salah?,3
"Berikut divisi yang ada di KMM RK, KECUALI?",3
Salah satu Program Kerja Tahunan KMM RK yang mengadakan Talkshow dan lomba Broadcasting dengan mengundang Guest Star adalah?,3
Salah satu tugas dari divisi producer adalah mengedit audio. Pernyataan tersebut benar atau salah?,3
"Jika seorang mahasiswa ingin mendaftar KMM RK dan ia memiliki kemampuan yang baik dalam mengatur jadwal, sehingga kompeten untuk mengatur jadwal siaran RK, maka mahasiswa tersebut tepat untuk mendaftar di divisi?",3
Dalam divisi sports terdapat cabang bulu tangkis. Pernyataan tersebut benar atau salah?,4
Fungsi divisi DDD dalam kmm sports digunakan untuk promosi. Pernyataan tersebut benar atau salah?,4
"Ivy sangat ingin bergabung dengan KMM Sports, namun dia kurang yakin dengan kemampuan olahraganya. Tapi di sisi lain Ivy sangat mahir bermain game online. Divisi apa yang cocok dengan kondisi Ivy saat ini?",4
"Latihan rutin, ESCAPE (Engineering Sports Competition), ORMAWA Cup termasuk ke dalam Program Kerja Eksternal KMM Sports. Pernyataan tersebut benar atau salah ?",4
Ada berapa total divisi di KMM Sports yang tidak termasuk BPH?,4
Apa jargon KSM Foto dan Media?,5
Ada berapa banyak acara eksternal yang diadakan oleh KSM Foto dan Media?,5
Ada berapa divisi di KSM Foto dan Media yang tidak termasuk BPH?,5
Di mana letak ruangan KSM FOTMED?,5
Benar atau salah kepanjangan dari divisi PDH KSM Foto dan Media adalah Photography and Digital Hunter?,5
